Record Length,Analog:10000
Sample Interval,CH1:1e-6
Vertical Units,CH1:V,,,
Vertical Scale,CH1:1.00,,,
Vertical Offset,CH1:0.0,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMDBX2R1294,,,
Software Version,7.6.1.20 R3,,,
Source,CH1
Second,Volt
-4.700e-04,0.08
-4.690e-04,0.08
-4.680e-04,0.08
-4.670e-04,0.08
-4.660e-04,0.12
-4.650e-04,0.08
-4.640e-04,0.12
-4.630e-04,0.08
-4.620e-04,0.16
-4.610e-04,0.08
-4.600e-04,0.08
-4.590e-04,0.08
-4.580e-04,0.12
-4.570e-04,0.08
-4.560e-04,0.04
-4.550e-04,0.16
-4.540e-04,0.12
-4.530e-04,0.08
-4.520e-04,0.08
-4.510e-04,0.08
-4.500e-04,0.08
-4.490e-04,0.12
-4.480e-04,0.08
-4.470e-04,0.12
-4.460e-04,0.08
-4.450e-04,0.08
-4.440e-04,0.08
-4.430e-04,0.08
-4.420e-04,0.12
-4.410e-04,0.08
-4.400e-04,0.04
-4.390e-04,0.16
-4.380e-04,0.12
-4.370e-04,0.08
-4.360e-04,0.08
-4.350e-04,0.08
-4.340e-04,0.08
-4.330e-04,0.08
-4.320e-04,0.08
-4.310e-04,0.12
-4.300e-04,0.12
-4.290e-04,0.08
-4.280e-04,0.12
-4.270e-04,0.08
-4.260e-04,0.08
-4.250e-04,0.08
-4.240e-04,0.08
-4.230e-04,0.08
-4.220e-04,0.08
-4.210e-04,0.12
-4.200e-04,0.12
-4.190e-04,0.04
-4.180e-04,0.08
-4.170e-04,0.08
-4.160e-04,0.08
-4.150e-04,0.08
-4.140e-04,0.16
-4.130e-04,0.12
-4.120e-04,0.08
-4.110e-04,0.12
-4.100e-04,0.08
-4.090e-04,0.12
-4.080e-04,0.08
-4.070e-04,0.08
-4.060e-04,0.12
-4.050e-04,0.12
-4.040e-04,0.04
-4.030e-04,0.12
-4.020e-04,0.08
-4.010e-04,0.08
-4.000e-04,0.08
-3.990e-04,0.08
-3.980e-04,0.12
-3.970e-04,0.08
-3.960e-04,0.12
-3.950e-04,0.08
-3.940e-04,0.08
-3.930e-04,0.08
-3.920e-04,0.04
-3.910e-04,0.08
-3.900e-04,0.08
-3.890e-04,0.04
-3.880e-04,0.08
-3.870e-04,0.08
-3.860e-04,0.08
-3.850e-04,0.08
-3.840e-04,0.08
-3.830e-04,0.08
-3.820e-04,0.12
-3.810e-04,0.08
-3.800e-04,0.08
-3.790e-04,0.08
-3.780e-04,0.08
-3.770e-04,0.08
-3.760e-04,0.08
-3.750e-04,0.08
-3.740e-04,0.12
-3.730e-04,0.12
-3.720e-04,0.08
-3.710e-04,0.12
-3.700e-04,0.08
-3.690e-04,0.08
-3.680e-04,0.08
-3.670e-04,0.08
-3.660e-04,0.08
-3.650e-04,0.12
-3.640e-04,0.08
-3.630e-04,0.08
-3.620e-04,0.12
-3.610e-04,0.08
-3.600e-04,0.08
-3.590e-04,0.08
-3.580e-04,0.08
-3.570e-04,0.12
-3.560e-04,0.08
-3.550e-04,0.08
-3.540e-04,0.08
-3.530e-04,0.08
-3.520e-04,0.04
-3.510e-04,0.08
-3.500e-04,0.08
-3.490e-04,0.08
-3.480e-04,0.08
-3.470e-04,0.12
-3.460e-04,0.04
-3.450e-04,0.12
-3.440e-04,0.12
-3.430e-04,0.08
-3.420e-04,0.08
-3.410e-04,0.12
-3.400e-04,0.08
-3.390e-04,0.04
-3.380e-04,0.12
-3.370e-04,0.12
-3.360e-04,0.08
-3.350e-04,0.12
-3.340e-04,0.12
-3.330e-04,0.12
-3.320e-04,0.12
-3.310e-04,0.08
-3.300e-04,0.08
-3.290e-04,0.08
-3.280e-04,0.08
-3.270e-04,0.12
-3.260e-04,0.12
-3.250e-04,0.08
-3.240e-04,0
-3.230e-04,0.12
-3.220e-04,0.08
-3.210e-04,0.08
-3.200e-04,0.12
-3.190e-04,0.08
-3.180e-04,0.08
-3.170e-04,0.08
-3.160e-04,0.12
-3.150e-04,0.12
-3.140e-04,0.12
-3.130e-04,0.12
-3.120e-04,0.12
-3.110e-04,0.08
-3.100e-04,0.08
-3.090e-04,0.08
-3.080e-04,0.08
-3.070e-04,0.08
-3.060e-04,0.08
-3.050e-04,0.08
-3.040e-04,0.08
-3.030e-04,0.12
-3.020e-04,0.12
-3.010e-04,0.12
-3.000e-04,0.08
-2.990e-04,0.08
-2.980e-04,0.08
-2.970e-04,0.08
-2.960e-04,0.08
-2.950e-04,0.12
-2.940e-04,0.08
-2.930e-04,0.12
-2.920e-04,0.08
-2.910e-04,0.08
-2.900e-04,0.08
-2.890e-04,0.12
-2.880e-04,0.08
-2.870e-04,0.08
-2.860e-04,0.08
-2.850e-04,0.08
-2.840e-04,0.08
-2.830e-04,0.12
-2.820e-04,0.08
-2.810e-04,0.08
-2.800e-04,0.08
-2.790e-04,0.08
-2.780e-04,0.08
-2.770e-04,0.08
-2.760e-04,0.16
-2.750e-04,0.12
-2.740e-04,0.12
-2.730e-04,0.16
-2.720e-04,0.12
-2.710e-04,0.12
-2.700e-04,0.08
-2.690e-04,0.08
-2.680e-04,0.08
-2.670e-04,0.08
-2.660e-04,0.12
-2.650e-04,0.08
-2.640e-04,0.08
-2.630e-04,0.08
-2.620e-04,0.12
-2.610e-04,0.12
-2.600e-04,0.12
-2.590e-04,0.08
-2.580e-04,0.08
-2.570e-04,0.08
-2.560e-04,0.12
-2.550e-04,0.08
-2.540e-04,0.12
-2.530e-04,0.12
-2.520e-04,0.08
-2.510e-04,0.04
-2.500e-04,0.12
-2.490e-04,0.12
-2.480e-04,0.12
-2.470e-04,0.12
-2.460e-04,0.08
-2.450e-04,0.08
-2.440e-04,0.08
-2.430e-04,0.08
-2.420e-04,0.04
-2.410e-04,0.08
-2.400e-04,0.08
-2.390e-04,0.08
-2.380e-04,0.08
-2.370e-04,0.12
-2.360e-04,0.08
-2.350e-04,0.08
-2.340e-04,0.08
-2.330e-04,0.08
-2.320e-04,0.12
-2.310e-04,0.08
-2.300e-04,0.08
-2.290e-04,0.08
-2.280e-04,0.12
-2.270e-04,0.08
-2.260e-04,0.08
-2.250e-04,0.12
-2.240e-04,0.08
-2.230e-04,0.12
-2.220e-04,0.12
-2.210e-04,0.08
-2.200e-04,0.08
-2.190e-04,0.08
-2.180e-04,0.12
-2.170e-04,0.08
-2.160e-04,0.08
-2.150e-04,0.08
-2.140e-04,0.08
-2.130e-04,0.12
-2.120e-04,0.08
-2.110e-04,0.08
-2.100e-04,0.08
-2.090e-04,0.12
-2.080e-04,0.08
-2.070e-04,0.12
-2.060e-04,0.08
-2.050e-04,0.16
-2.040e-04,0.08
-2.030e-04,0.12
-2.020e-04,0.12
-2.010e-04,0.08
-2.000e-04,0.08
-1.990e-04,0.12
-1.980e-04,0.08
-1.970e-04,0.08
-1.960e-04,0.12
-1.950e-04,0.12
-1.940e-04,0.12
-1.930e-04,0.08
-1.920e-04,0.12
-1.910e-04,0.12
-1.900e-04,0.08
-1.890e-04,0.08
-1.880e-04,0.12
-1.870e-04,0.08
-1.860e-04,0.12
-1.850e-04,0.04
-1.840e-04,0.08
-1.830e-04,0.08
-1.820e-04,0.08
-1.810e-04,0.08
-1.800e-04,0.12
-1.790e-04,0.12
-1.780e-04,0.04
-1.770e-04,0.08
-1.760e-04,0.12
-1.750e-04,0.08
-1.740e-04,0.04
-1.730e-04,0.08
-1.720e-04,0.08
-1.710e-04,0.08
-1.700e-04,0.12
-1.690e-04,0.12
-1.680e-04,0.12
-1.670e-04,0.08
-1.660e-04,0.12
-1.650e-04,0.08
-1.640e-04,0.04
-1.630e-04,0.08
-1.620e-04,0.12
-1.610e-04,0.08
-1.600e-04,0.08
-1.590e-04,0.16
-1.580e-04,0
-1.570e-04,0.08
-1.560e-04,0.12
-1.550e-04,0.08
-1.540e-04,0.08
-1.530e-04,0.08
-1.520e-04,0.12
-1.510e-04,0.08
-1.500e-04,0.08
-1.490e-04,0.12
-1.480e-04,0.08
-1.470e-04,0.08
-1.460e-04,0.04
-1.450e-04,0.08
-1.440e-04,0.04
-1.430e-04,0.08
-1.420e-04,0.08
-1.410e-04,0.12
-1.400e-04,0.08
-1.390e-04,0.08
-1.380e-04,0.08
-1.370e-04,0.08
-1.360e-04,0.08
-1.350e-04,0.08
-1.340e-04,0.12
-1.330e-04,0.08
-1.320e-04,0.08
-1.310e-04,0.16
-1.300e-04,0.08
-1.290e-04,0.08
-1.280e-04,0.12
-1.270e-04,0.08
-1.260e-04,0.08
-1.250e-04,0.08
-1.240e-04,0.08
-1.230e-04,0.08
-1.220e-04,0.08
-1.210e-04,0.08
-1.200e-04,0.12
-1.190e-04,0.12
-1.180e-04,0.08
-1.170e-04,0.08
-1.160e-04,0.12
-1.150e-04,0.08
-1.140e-04,0.08
-1.130e-04,0.08
-1.120e-04,0.12
-1.110e-04,0.08
-1.100e-04,0.08
-1.090e-04,0.08
-1.080e-04,0.04
-1.070e-04,0.08
-1.060e-04,0.08
-1.050e-04,0.08
